jobtitle,description,extracted_skills,top_5_similar_jobs,top_5_similar_scores
co_op_neuroscience,"Arvinas is a clinical-stage biotechnology company leading the way in targeted protein degradation therapeutics. Arvinas is the first company to focus solely on protein degradation and its platform technology is the most advanced in the field. Since its founding in 2013, Arvinas’ PROTAC® Discovery Engine has been driving the most significant breakthroughs in the industry. Arvinas’ pipeline encompasses a range of validated and undruggable targets in oncology, immuno-oncology, and neuroscience. This includes three clinical-stage programs: bavdegalutamide (ARV-110) and ARV-766, which are being developed as potential treatments for men with late-line metastatic castrate-resistant prostate cancer, and ARV-471, which is being co-developed and commercialized by Arvinas and Pfizer as a potential treatment for patients with breast cancer.<br/><br/>#TeamArvinas is made up of more than 400 passionate and curious employees, whose diverse thoughts and perspectives are highly valued. Arvinas employees embrace the freedom to pursue innovation, think creatively, and give back. They are driven by the company’s values and mission – to improve the lives of patients with serious diseases by pioneering therapies created with our revolutionary PROTAC® protein degradation platform. We’re really excited about the work we’re doing inside and outside of Arvinas, and think you will be, too. But don’t just take our word for it – learn more about life at Arvinas and what employees have to say. For more information, please visit www.arvinas.com.<br/><br/><strong>Position Summary<br/><br/></strong>This <strong>Fall 2023 co-op position</strong> will be focused on investigating novel therapeutic options for Alzheimer’s disease and contribute to our exciting tau PROTAC discovery efforts. The co-op will be embedded in the Arvinas Neuroscience team, and will be part of a collaborative, multi-disciplinary team of biologists, biochemists, biophysicists and chemists. This position will include modeling tau and Alzheimer’s Disease pathology in vitro, and support mechanism of action studies for our lead PROTACs. Here, we’re looking for a passionate individual who loves neuroscience and wants to contribute to understanding disease-relevant basic biology to impact program decisions. Additional qualifications include prior experience (beyond academic lab classes) in mammalian cell culture and molecular biology. After training, the prospective team member will be expected to work independently and prioritize their time, analyze and communicate experimental data to supervisor and team, and write up experimental procedures for colleagues and their electronic lab notebook.<br/><br/>This position reports to a Senior Research Scientist, Neuroscience and will be located at our headquarters in New Haven, CT.<br/><br/><strong>Principal Responsibilities<br/><br/></strong>Key responsibilities of this role include, but are not limited to:<br/><ul><li>cell culture (cell lines, iPSC-derived neurons, primary neurons); including cell line maintenance, transfection, compound treatment</li><li>plate based assays and other molecular biology techniques; e.g. western blot, qPCR</li><li>Utilization of high-content imaging / microscopy would be a plus</li><li>Data analysis and interpretation</li><li>Major areas of training focus will include utilizing published literature to guide assay development and technical optimization, evaluating appropriate controls, and troubleshooting.<br/><br/></li></ul><strong>Qualifications<br/></strong><ul><li>The candidate should be a highly motivated, fast learner, with flexibility and ability to multi-task, as well as a good lab citizen. </li><li>Previous biology or neuroscience experience and knowledge of cell culture required</li><li>gene expression analysis and microscopy experience are a plus</li><li>Ability to work full-time (40h / week)<br/><br/></li></ul><strong>Education <br/></strong><ul><li>Preference to rising junior / senior in an undergraduate program or master’s student<br/><br/></li></ul><em>Arvinas is proud to offer a competitive package of base and incentive compensation as well as a comprehensive benefits program designed to support the health, wellness and financial security of our employees and their families. Benefits include group medical, vision and dental coverage, group and supplemental life insurance, and much more. To learn more about Arvinas, please visit </em><em>www.arvinas.com<br/><br/></em><em>Arvinas is an Equal Opportunity employer</em>","protein degradation, PROTAC, oncology, immuno-oncology, neuroscience, Alzheimer's disease, tau pathology, mammalian cell culture, molecular biology, cell line maintenance, transfection, compound treatment, plate based assays, western blot, qPCR, high-content imaging, microscopy, data analysis, data interpretation, assay development, technical optimization, troubleshooting, gene expression analysis","lab_technician, senior_qc_technician, faculty_professor_assistant_full_time, lab_technician, staff_technical_product_manager_clinical_software_us","0.661, 0.648, 0.561, 0.523, 0.505"
senior_office_administrator,"<strong><u>About Hays<br/><br/></u></strong>At Hays, we believe in being long-term partners to our people as well as our customers.<br/><br/>With a team of over 12,000 people across 32 countries, you'll be joining a global team helping to shape the careers and workforces for our customers wherever you are in the world.<br/><br/>United by the Hays spirit and with access to a rich variety of career opportunities, together, we will work for your tomorrow, and the possibilities are endless.<br/><br/>If you're thinking of a new tomorrow for your career, let's work together to create it.<br/><br/>The Opportunity<br/><br/><strong><u>Required<br/><br/></u></strong>We are looking for a highly organised, ambitious individual to join our team here in Cheltenham as a Sales Support Administrator, no experience is required for this role, however we are looking for someone to demonstrate the following behaviours<br/><ul><li>Good interpersonal and influencing skills</li><li>Ability to work under pressure and use initiative</li><li>Ability to meet deadlines</li><li>Good attention to details and accuracy</li><li>Proactive and takes a flexible approach to work</li><li>Demonstrates a high level of professionalism</li><li>Customer focused</li><li>Team orientated</li><li>Good systems skills and experience - good level of Microsoft Word, Excel and Outlook.<br/></li></ul>What can I expect day to day?<br/><br/>No two days are the same in this role! You will be supporting a team of Recruitment Consultants as well as the management team in your office.<br/><br/><strong><u>Responsibilities Include<br/><br/></u></strong>Compliance/Professional Standards<br/><ul><li>Updating daily spreadsheets for managers &amp; consultants</li><li>Checking compliance files are accurate and complete</li><li>Obtaining missing documentation, including CAF, ID/eligibility to work in UK and sourcing references, credit and qualifications checks</li><li>Updating OneTouch candidate records so they accurately reflect documents held</li><li>Ad-hoc support for internal and external office audits.<br/></li></ul>General Admin/Data Input<br/><ul><li>Updating and formatting candidate CVs</li><li>Updating OneTouch and any other records with candidate information</li><li>Database cleansing as required</li><li>Handling queries and telephone calls</li><li>Scanning, printing, verifying acquiring and chasing confidential documents</li><li>Refreshing job ads and tracking job and candidate</li><li>Running regular and adhoc reports using various data sources</li><li>Assisting with internal and external client or candidate events including local/national BD days</li><li>Processing temp time sheets using TCZ and resolving queries on Live Chat.</li><li>Reception duties as required</li><li>Other adhoc admin duties as required<br/></li></ul>Office Management<br/><ul><li>Maintenance and management of office and IT equipment</li><li>Ensuring the office and kitchen areas are kept organised, stocked and tidy</li><li>Liaise with facilities stakeholders</li><li>Ordering office stationery, collateral and merchandise and monitoring and managing the use of this</li><li>Post and mail shots</li><li>Producing regular reports</li><li>Administration of the company pool cars</li><li>Process travel requests</li><li>Managing the use and administration of the company pool cars in line with regional policy</li><li>Managing the office car park spaces</li><li>Managing costs when ordering and purchasing items and or services for the office</li><li>Managing events calendar for office</li><li>Other adhoc office management and admin duties as required</li><li>Supervising the existing admin team<br/></li></ul>Service Delivery &amp; Critical Processes<br/><ul><li>Ensure adherence to Hays' policies, procedures, recruitment methodology and service delivery standards</li><li>Work continuously to uphold and improve the quality of service provided to both internal and external customers</li><li>Identify and escalate areas for improvement in the service we provide<br/></li></ul>What you will get in return<br/><ul><li>Buy and sell holiday</li><li>Black Tie Summer Ball and Christmas Parties</li><li>The opportunity for recognition at local, regional and national awards</li><li>Opportunity for global relocation</li><li>Referral bonuses of up to £2000 per individual</li><li>Access to a free well-being package</li><li>Gym discounts</li><li>Cycle to work scheme</li><li>Access to virtual doctor unlimited times per year</li><li>Employee loans to buy Tech/Rail/Tram travel</li><li>Paid charity day #HaysHelps and working closely with charity partners</li><li>Hays Pride our LGBTQ+ network</li><li>Strong environmental and social purpose<br/></li></ul>At Hays, we share a passion for creating a culture where there are opportunities for our people to flourish and succeed, whatever your background. We know that diversity of perspective and an inclusive approach, which encourages those experiences and views to be heard, is great for business and therefore your career with us.<br/><br/>#4412698","Microsoft Word, Excel, Outlook, interpersonal skills, influencing skills, attention to detail, customer service, teamwork, spreadsheet management, compliance documentation, database management, CV formatting, data entry, report generation, event coordination, office management, facilities management, inventory management, procurement, time management, administrative support, supervision","hotel_executive_housekeeper, assistant_store_leader_manager, contract_specialist, site_assistant_community_manager, medical_workforce_assistant","0.811, 0.809, 0.807, 0.805, 0.805"
aircraft_pneudraulics_repairer,"As an Aircraft Pneudraulics Repairer in the Army National Guard, you’ll specialize in inspecting, servicing, and repairing things like brake systems, rudders, flaps, and landing gear. You will also diagnose and troubleshoot malfunctions to hydraulic or pneumatic systems, subsystems, or components.<br/><br/><strong><u>Job Duties<br/></u></strong><ul><li> Use and maintain common/special tools</li><li> Maintain facilities for storage of flammable/hazardous materials<br/></li></ul><strong><u>Some Of The Skills You’ll Learn<br/></u></strong><ul><li> Engine disassembly and repair</li><li> Repair of aluminum, steel, and fiberglass airframes/coverings</li><li> Fix hydraulic, fuel, and electrical systems<br/></li></ul><strong><u>Helpful Skills<br/></u></strong><ul><li> Preference for mathematics and shop mechanics</li><li> Ability to use hand and power tools<br/></li></ul>Through your training, you will develop the skills and experience to enjoy a civilian career with aircraft manufacturers, commercial airlines, and government agencies.<br/><br/><strong>Earn While You Learn<br/></strong>Instead of paying to learn these skills, get paid to learn. In the Army National Guard, you will learn these valuable job skills while earning a regular paycheck and qualifying for tuition assistance.<br/><br/>Job training for Soldiers in the Aircraft Pneudraulics Repairer specialty consists of 10 weeks of Basic Combat Training, plus 13 weeks of Advanced Individual Training. During this time, you will learn essential Soldiering skills and refine your aircraft repair abilities in the field and the classroom.","hydraulic systems, pneumatic systems, brake systems, engine repair, aircraft repair, aluminum repair, steel repair, fiberglass repair, airframe repair, hydraulic systems repair, fuel systems repair, electrical systems repair, mathematics, shop mechanics, hand tools, power tools, troubleshooting, system diagnostics, hazardous materials handling","industrial_maintenance_technician, service_technician, maintenance_technician, electrical_mechanical_technician, maintenance_electrician_st_shift","0.848, 0.816, 0.815, 0.802, 0.795"
master_technician,"<strong><u>Position Summary<br/><br/></u></strong>The Master Technician requires experience and technical expertise to diagnose drivability, air conditioning and electrical systems. It is expected to use leadership and mentoring skills to drive a team to increase customer care and satisfaction A successful Master Technician will have direct interaction with customers and deliver superior service through educating the customer on the problems and proposed solutions for their vehicle.<br/><br/><strong><u>Duties &amp; Responsibilities<br/></u></strong><ul><li> Diagnose and repair to specifications -- brake and hydraulic, exhaust, primary and/or advanced fuel ignition and electrical, suspension and alignment, air conditioning and computer systems.</li><li> Perform job duties of all lower job descriptions (Technician A, Technician B, Mechanic, General Service Technician)</li><li> Adequately explain technical diagnoses and needed repairs to non-mechanical individuals which may include employees and customers on an as-required basis.</li><li> Continuously learn new technical information and techniques in formal training sessions in order to stay abreast with rapidly changing automotive technology.</li><li> Assist fellow technicians/mechanics in performing technical activities.</li><li> Keep store management aware of mechanical repair problems as they occur.</li><li>Maintain and organized and neat shop</li><li>Adhere to all company policies, procedures, safety, and environmental rules<br/></li></ul><strong><u>Knowledge, Skills, And Abilities<br/><br/></u></strong><strong>This position is a leader in the shop. We expect you to help set the pace and tone while helping to develop the team around you. Collaboration and a team first menta</strong><strong>lity are a must if you are looking for success in this role. In addition, we require review the following to measure your fit for this role:<br/></strong><ul><li>A High School Diploma or GED</li><li>5+ years of strong automotive mechanical diagnosis, problem-solving and repair experience.</li><li>8 or more ASE certifications are PREFERRED for this position (A1 through A8)</li><li>Section 609 Certification required</li><li>State Inspection license if applicable</li><li>High level of motivation, energy and a customer-focused attitude.</li><li>Must have a valid driver's license.</li><li>Successful completion of pre-employment drug screen</li><li>Availability to work days, nights, holidays, and weekends as needed<br/></li></ul><strong><u>Physical Demands/Work Environment<br/><br/></u></strong>The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.<br/><br/>The characteristics described here are representative of those an employee encounters while performing the essential functions of this job.<br/><br/><strong><u>Physical Demands<br/></u></strong><ul><li>Extensive standing, walking, pushing and reaching.</li><li>Need full range of motion for reaching, bending and stooping.</li><li>Repetitive movement of hands, arms, legs.</li><li>May drive a vehicle if needed.</li><li>Lifting of heavy equipment &gt;50 pounds is required.</li><li>May work outside and be exposed to weather.</li><li>Exposure to adverse weather conditions, chemicals, odors, dirt and dust.</li><li>Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and ability to adjust focus.</li></ul>","automotive diagnosis, brake systems, hydraulic systems, exhaust systems, fuel ignition systems, electrical systems, suspension systems, alignment, air conditioning systems, computer systems, technical communication, mentoring, leadership, customer service, ASE certifications, Section 609 Certification, State Inspection license, mechanical repair, drivability diagnosis, technical problem-solving","automotive_oil_change_quick_lube_technician, retail_sales_specialist, automotive_service_technician, multiskilled_met_technician_apprentice, vehicle_condition_inspector","0.805, 0.733, 0.730, 0.723, 0.700"
physical_education_girls_teacher_canarelli_ms,"<strong>Position: Physical Education (Girls) teaching position for the 2024-2025 school year.<br/><br/></strong><strong>Months: 9<br/><br/></strong><strong>Hours: 7.18<br/><br/></strong>https://www.ccsd.net/employees/resources/pdf/desc/lp/secondary_teacher_physical_education.pdf<br/><br/><strong> External Applicants: <br/><br/></strong>Ensure that you have attached the required documents listed in the job description and completed the full three (3) year work history, including periods of unemployment, in the ""Experience and Credential"" section of the application.<br/><br/><strong>Position: Physical Education (Girls) teaching position for the 2024-2025 school year.<br/><br/></strong><strong>Months: 9<br/><br/></strong><strong>Hours: 7.18<br/><br/></strong>https://www.ccsd.net/employees/resources/pdf/desc/lp/secondary_teacher_physical_education.pdf<br/><br/><strong> External Applicants: <br/><br/></strong>Ensure that you have attached the required documents listed in the job description and completed the full three (3) year work history, including periods of unemployment, in the ""Experience and Credential"" section of the application.","physical education, teaching, girls physical education, secondary education","physical_education_teacher, student_teacher, adjunct_faculty_sports_management, travel_therapy_physical_therapist, elementary_school_teacher","0.711, 0.568, 0.539, 0.529, 0.526"
senior_physiotherapist,"Canary Wharf Medical Centre | Physiotherapy | Permanent contract | Part time | Includes weekend work<p><br/></p>Up to £51,000 pro rata depending on experience<p><br/></p>15 hours per week<p><br/></p>Our Physiotherapy team in Canary Wharf Medical Centre currently have an opportunity for a Senior Physiotherapist. Continue your journey with us whilst we’ll support you to be your best.<p><br/></p>Nuffield Health is Britain’s largest not-for-profit healthcare organisation, where we offer a number of flagship programmes, which our Physiotherapists support the deliverery of; from our Joint Pain programme, Cystic Fibrosis programme and School SWAP these are designed to deliver excellent clinical care as well as benefit the local communities, using our state of the art facilities and expert knowledge colleagues.<p><br/></p>As part of the team you will have clinical support available from your Regional clinical lead along with Physiotherapists, with leadership from the management team on site. You will have a CPD budget to encourage you to continue your learning and striving for clinical excellence.<p><br/></p>As a Senior Physiotherapist at our Canary Wharf Medical Centre, you’ll have a BSc in Physiotherapy or equivalent plus Health and Care Professions Council registration. you will demonstrate evidence of further professional training and continual professional development, reflecting your desire to develop as a practitioner. In addition to excellent manual therapy skills, you’re able to prioritise and manage a varied workload. You’re also good with computers and a confident communicator.<p><br/></p><strong><u>As a Senior Physiotherapist You Will</u></strong><p><br/></p><ul><li>See a wide range of musculoskeletal conditions and post operative cases, playing a key role in helping our patients achieve, maintain and recover to the level of health and wellbeing that they aspire to.</li><li>Deliver high quality, effective clinical care.</li><li>Adhere to our values and beliefs at Nuffield Health, in which we encourage behaviour which is enterprising, passionate, independent and caring.</li><li>Deliver excellent clinical care that is evidence based, Safe, Effective, Caring, Well-led and responsive to our patient’s needs.</li><li>Ensure on-going monitoring of the standard of treatment provided</li><li>Be compliant with all professional, clinical and integrated governance standards and participate in clinical audit and other quality assurance processes</li></ul><p><br/></p><strong>Supporting your growth.</strong><p><br/></p>We’re committed to the professional development of all our clinical colleagues. Inside our Learning and Development Academy, you’ll discover a range of internal CPD courses and online content to support your clinical and professional development. As a Nuffield Health Physiotherapist, you’ll also enjoy opportunities to apply for funding support towards your relevant CPD activity and postgraduate study. Plus, you can access further professional development opportunities via the large number of apprenticeship programmes we offer.<p><br/></p><strong>Helping you feel good.</strong><p><br/></p>We want you to love coming to work, feeling healthy, happy and valued. That’s why we’ve developed a benefits package with you in mind. With emotional wellbeing support, a cycle to work scheme, online GP and private healthcare – at Nuffield Health, we take care of what’s important to you.<p><br/></p><strong>Join Nuffield Health and create the future you want, today. </strong><p><br/></p>If you like what you see, why not start your application now? We consider applications as we receive them and reserve the right to close adverts early (for example, where we have received an unprecedented high volume of applications). So, it’s a good idea to apply right away to ensure you’re considered for this role.<p><br/></p><strong>It starts with you.</strong>","Physiotherapy, manual therapy, musculoskeletal conditions, post-operative care, clinical care, evidence-based practice, clinical audit, integrated governance, CPD, HCPC registration, computer skills","senior_inpatient_orthopaedic_physiotherapist, full_time_float_physical_therapist_kc_metro_clinics, physical_therapist, physical_therapist_assistant_pta_prn, physical_therapist_part_time_consistent_prn_hours_per_week","0.770, 0.717, 0.687, 0.680, 0.668"
travel_nurse_rn_interventional_radiology_per_week_el_paso_tx,"TravelNurseSource is working with Medical Talent to find a qualified Interventional Radiology RN in El Paso, Texas, 79902!<br/><br/><strong>Pay Information<br/><br/></strong>$2,542 per week<br/><br/><strong>About The Position<br/><br/></strong><strong>Join the Medical Talent Team!<br/><br/></strong><strong>Join our dynamic team and embark on a rewarding journey with us! We are Joint Commission certified and known for our commitment to excellence and ethical practices in the industry. Offering some of the most competitive pay packages available, we prioritize the well-being and flexibility of our travelers!<br/><br/></strong><strong>As a Traveler with Medical Talent, you`ll have the opportunity to work in diverse settings, expand your skill set, and make a difference in the lives of patients across various locations. We are seeking dedicated individuals who are passionate about delivering high-quality care and are adaptable to new environments.<br/><br/></strong><strong>Requirements For Submission<br/><br/></strong><ul><li> Active license in the state(s) of practice</li><li> Minimum of 1 year of recent experience in a clinical setting</li><li> BLS/CPR certification (additional certifications may be required based on specialty)</li><li> Strong communication and interpersonal skills</li><li> Ability to adapt to different healthcare settings and work collaboratively in a team environment</li><li> Flexibility to travel and work varying shifts, including weekends and holidays</li><li> Commitment to providing compassionate care and upholding ethical standards<br/><br/></li></ul><strong>Being a Women-owned, Veteran-operated company, we take pride in supporting the individuals who work selflessly to help those in need. We will continue to make a difference by providing opportunities to advance careers and strengthen the healthcare workforce.<br/><br/></strong><strong>As our team continues to grow, our mission will always stay the same: Strengthening the Future of Healthcare.<br/><br/></strong>25474115EXPPLAT<br/><br/><strong>Job Requirements<br/><br/></strong>Required for Onboarding<br/><br/><ul><li>BLS</li><li>Core Mandatory Part I</li><li>Core Mandatory Part II (Nursing)</li><li>Core Mandatory Part III</li><li>Specialty/Unit Exam<br/><br/></li></ul><strong>About Medical Talent<br/><br/></strong><strong><em>Get paid to travel! As a Medical Talent travel healthcare professional, you’ll be able to explore the country while earning great pay.<br/><br/></em></strong>As a woman-owned, veteran-operated, and JCAHO-certified company, we take pride in supporting the individuals who work selflessly to help those in need. Discover our exciting opportunities and elevate your career with Medical Talent! We specialize in connecting talented professionals like you with fulfilling travel assignments tailored to your expertise and preferences. Partnering with us you will receive top-notch support and seamless placements while achieving your lifestyle goals. Today, Medical Talent represents over three decades of experience, placing candidates across all 50 states with a 94% acceptance rate and over 90% of providers extending their contracts. We are dedicated to connecting you with the right opportunities that are not only lucrative but also support our mission of Strengthening the Future of Healthcare.<br/><br/>We are proud to offer our travelers competitive benefits including:<br/><br/>Medical and dental benefits<br/><br/>Travel reimbursement<br/><br/>Bonuses and incentives<br/><br/>Continuing education support<br/><br/>Licensing assistance<br/><br/>Team Support<br/><br/>Get started on your adventure with a job from Medical Talent. We’ll take you to new places and your career to new heights.","Interventional Radiology, RN, nursing, BLS/CPR certification, communication, interpersonal skills, adaptability, teamwork, flexibility, compassionate care, ethical standards","travel_rn_radiology_state_college_pa_per_week, registered_nurse_hospice_home_health, registered_nurse_rn, nurse_manager, seasonal_registered_nurse_rn_labor_delivery_nights","0.797, 0.769, 0.765, 0.765, 0.762"
store_driver_dispatcher,"<strong><u>Job Description<br/><br/></u></strong>NAPA Auto Parts is seeking an enthusiastic and hard-working Store Dispatcher to join our rapidly growing team of Auto Parts professionals.<br/><br/><strong><u>Responsibilities<br/></u></strong><ul><li>Scheduling deliveries and dispatching delivery drivers on a timely basis</li><li>Ensuring that the right parts are delivered to the right customer order with precision, speed and courtesy</li><li>Mapping out routes for deliveries that are as efficient as possible</li><li>Tracking and analyzing quality of delivery service using Delivery Management System</li><li>Overcoming roadblock problems for customers and chart effective solutions</li><li>Handling cash returned by drivers and keep accurate records</li><li>Inspecting returned parts and cores and preparing them for return the Distribution Center or manufacturer</li><li>Maintaining the fleet to ensure vehicles are in safe and proper working order and flag problems with vehicles that detract from quality delivery service<br/></li></ul><strong><u>Qualifications<br/></u></strong><ul><li>High school diploma or equivalent</li><li>Passion for delivering customer care Excellent verbal and written communication skills</li><li>Keen sense for seeing, hearing and remembering part numbers and line codes</li><li>Agility to bend to floor-level shelves and reach to upper shelves (eight feet) with use of stool or ladder and walk up and down stairs</li><li>Stamina to stand and walk for entire work shift Motivated team player able to thrive in a fast-paced environment</li><li>Self-Motivated, strong sense of urgency, organized, detail-oriented, solid judgment</li><li>Valid Driver's License .</li></ul>","Delivery scheduling, route mapping, delivery management systems, cash handling, record keeping, parts inspection, fleet maintenance, customer service, verbal communication, written communication, inventory management, team collaboration, attention to detail, organization","shipper_receiver, amazon_package_sorter_earn_hour_night_shifts_available, stocking_unloading, seasonal_warehouse_team_member, delivery_driver","0.805, 0.787, 0.762, 0.754, 0.750"
licensed_practical_nurse_new_graduates_june,"Did you graduate from a Practical Nursing Program in June 2023 or are you expecting to graduate this year? Are you searching for a meaningful career that will make a positive impact on our residents’ lives? Shannex is now offering <strong>$5000.00 (tax-free) in tuition reimbursement</strong> to any interested nurses that would like to join one of our communities in a permanent full-time role.<p><br/></p><strong>The Opportunity</strong><p><br/></p><strong> Licensed Practical Nurse (LPN) </strong><p><br/></p><strong> Permanent Full-Time </strong><p><br/></p><strong> Miramichi, New Brunswick </strong><p><br/></p><strong>We Offer</strong><p><br/></p>You will be surrounded by supportive and talented team members who make our communities great places to live, work and visit. As an established and respected organization in the healthcare sector, Shannex offers opportunities for growth, development and advancement. And at the end of every day, you will know you’ve made a measured difference in the lives of our residents. Additional benefits include:<p><br/></p><ul><li> Approximate hourly wage range for LPN: $29.04 - $31.19/hr</li><li> Comprehensive health and dental benefits plan including an Employee and Family Assistance Program;</li><li> Pension plan;</li><li> Vacation accrual and travel insurance begins immediately;</li><li> Free onsite parking;</li><li> Employee discounts on select apparel, fitness, and retail partners through our Perks Program;</li><li> Access to continuing education and training through Shannex’s Centre of Excellence;</li><li> Opportunities to be part of sector innovation and continuous improvement initiatives;</li><li> Recognition and Rewards for service excellence and safety</li></ul><p><br/></p><strong>Duties &amp; Responsibilities Include</strong><p><br/></p><ul><li> Assessing, planning, evaluating, documenting and directing residents’ needs through consultation with medical professionals, care conferences and team members;</li><li> Providing leadership to health services staff and overseeing provision of quality health services respecting the client’s right to individualized planning of health services;</li><li> Working with the existing management and health services teams to promote communication and compliance to policies and procedures;</li><li> Administering and recording prescribed medication as per company policy and scope of practice;</li><li> Applies dressings and treatments according to physician’s orders and policy;</li><li> Assists with supervision and evaluation of job performance and behavior of other health care staff</li><li> Assisting with the development, implementation, and evaluation of resident care plans;</li></ul><p><br/></p><strong>Requirements/ Needs</strong><p><br/></p><ul><li> Must have graduated from a Practical Nursing Program in June 2023 or expected to graduate in December 2023;</li><li> Registered with the provincial Nursing regulatory body (or proof of enrollment in current program if not yet graduated);</li><li> Must be able to provide a clear Canadian Criminal Record Check with Vulnerable Sector Screening upon hire;</li><li> To be eligible for tuition reimbursement, candidates must be able to provide proof of tuition paid;</li><li> Valid First Aid &amp; CPR Certification required;</li><li> Any previous course in Alzheimer’s and Dementia Care to be a huge asset;</li><li> Ability to work shiftwork including days, nights, weekends and/or evenings;</li><li> A passion for the healthcare sector and/or ensuring seniors have access to quality accommodations, services, and care.</li></ul><p><br/></p><strong>About Us</strong><p><br/></p>It all began in 1988 when our Founder, Joseph Shannon, purchased a single nursing home in his hometown of Sydney, Cape Breton. For more than three decades, Shannex has grown as a trusted provider of senior accommodations, services and care in Nova Scotia, New Brunswick, and Ontario. Our industry-leading services are inspired by residents and delivered by Parkland Retirement Living and Lifestyle Residences, Shannex Enhanced Care, Faubourg du Mascaret, Milestone Communities, and Care at Home team members who create an exceptional resident experience and a positive, fulfilling work environment where every voice matters.<p><br/></p><strong> If you’re ready to join the Shannex team of Great People, apply today! </strong><p><br/></p>Great People is a core value at Shannex based on the belief that our team members are the spirit and foundation of the organization. Shannex believes equity, diversity, inclusion and belonging is about creating a culture that embraces the uniqueness of individuals, where every person is treated fairly and where racism and discrimination are not tolerated. At Shannex, every team member belongs.<p><br/></p>All applications are kept in strict confidentiality.<p><br/></p>Only those selected for an interview will be contacted.","Licensed Practical Nursing, patient assessment, care planning, medication administration, wound care, dressing application, healthcare documentation, team leadership, staff supervision, performance evaluation, policy compliance, Alzheimer's care, Dementia care, First Aid, CPR, shift work, senior care","registered_nurse_hospice_home_health, registered_nurse_rn, registered_nurse, director_wellness_rn_landing_brighton, registered_nurse_rn_acute_care_icu_ft_weekend_shifts_win_nights","0.846, 0.843, 0.841, 0.829, 0.821"
human_resource_generalist,"<ul><li>Job Title*: Human Resource Generalist/Administrative Assistant Now hiring for a Human Resource Generalist in Norwell. This role will work with the administrative assistance of the recruiting manager for candidates that come out of the military for employment verification. A great entry-level opportunity for anyone seeking out their first steps in a Human Resources career!</li><li>Job Responsibilities*:</li><li>Performing administrative functions for the Recruiting Manager</li><li>Constantly work through excel to update pre-existing spreadsheets</li><li>Assist with the production of PowerPoints</li><li>Help with the initial screening out perspective Veteran and CDL candidates</li><li>Qualifications*:</li><li>High School Diploma required</li><li>Excel – knowledge of basic pivot tables and V Lookup functions</li><li>Microsoft Teams Experience</li><li>Willingness to show initiative</li><li>2 years of experience in a larger company</li><li>Employee Value*:</li><li>Opportunity for an entry-level Human Resource position</li><li>Opportunity to work for the largest employer in the South Shore</li><li>Opportunity to work in the Headquarters of a national company</li><li>Eligibility to apply to other internal jobs for different departments</li><li>Hybrid &amp; Flexible Schedule If interested, please apply and/or reach out to Giancarlo! At 617-535-3207 or gcorletto@astoncarter.com<br/><br/></li></ul>About Aston Carter:<br/><br/>Please Note: Scammers are posing as Aston Carter. We'll never contact you via Gmail, Telegram, or WhatsApp and we'll never solicit money from you.<br/><br/>At Aston Carter, we’re dedicated to expanding career opportunities for the skilled professionals who power our business. Our success is driven by the talented, motivated people who join our team across a range of positions – from recruiting, sales and delivery to corporate roles. As part of our team, employees have the opportunity for long-term career success, where hard work is rewarded and the potential for growth is limitless. Established in 1997, Aston Carter is a leading staffing and consulting firm, providing high-caliber talent and premium services to more than 7,000 companies across North America. Spanning four continents and more than 200 offices, we extend our clients’ capabilities by seeking solvers and delivering solutions to address today’s workforce challenges. For organizations looking for innovative solutions shaped by critical-thinking professionals, visit [AstonCarter.com.](AstonCarter.com) Aston Carter is a company within Allegis Group, a global leader in talent solutions. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law. If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please call 888-237-6835 or email [astoncarteraccommodation@astoncarter.com](mailto:%20astoncarteraccommodation@astoncarter.com) for other accommodation options. However, if you have questions about this position, please contact the Recruiter located at the bottom of the job posting. The Recruiter is the sole point of contact for questions about this position.","Excel, pivot tables, V Lookup functions, Microsoft Teams, human resources, recruiting, administrative support, PowerPoint, candidate screening, veteran recruitment, CDL recruitment, employment verification","senior_office_administrator, executive_administrator, medical_workforce_assistant, hr_generalist, hotel_executive_housekeeper","0.697, 0.665, 0.659, 0.659, 0.652"
